name,address,phone,hours
Araz Yevlax,"Yevlax şəhəri, Məhəmməd Füzuli küçəsi",055 900 36 40,08:00 - 23:00
Araz Hövsan 2 Minimarket,"Suraxanı rayonu, Hövsan qəsəbəsi, Elman Qasımov küçəsi 227 A",055 515 85 64,07:30 - 23:00
Araz Şuşa şəhəri-1,"Şuşa şəhəri, 20 Yanvar küçəsi",055 900 36 06,08:00 - 20:00
Araz Masazır-5,"Abşeron rayonu, Masazır qəsəbəsi, Əliağa Vahid küçəsi",055 900 96 44,08:00 - 23:00
Araz Bakıxanov-6,Muxtar Fətəliyev küçəsi 151 A,055 900 36 13,08:00 - 23:00
Araz Nargilə-3,"Xətai rayonu, Zığ yolu 31A, blok 3.",055 204 96 47,08:00 - 23:00
Araz Yeni Yasamal-2,"Yasamal rayonu, Əsəd Əhmədov küçəsi 9, döngə 5",055 900 28 20,08:00 - 23:00
Araz Əhmədli-7,"Xətai rayonu, Əhmədli qəsəbəsi, M.Hadi küçəsi, 2341-2343-cü məhəllə, ev 2 ",055 900 83 09,08:00 - 23:00
Araz Masazır-4,"Masazır qəsəbəsi, Yeni Bakı yaşayış kompleksi, ev 6",055 900 36 44,08:00 - 23:00
Araz Tusi-2,"Xətai rayonu, Nəsrəddin Tusi 45",055 900 83 29,08:00 - 23:00
Araz Həzi Aslanov-2,"Xətai rayonu, M.Hadi küçəsi, 2942 A məhəllə        ",055 900 36 89,08:00 - 23:00
Araz Biləcəri-3," Binəqədi rayonu, Biləcəri qəsəbəsi, Yahya Hüseynov küçəsi 33 c",055 900 83 99,08:00 - 23:00
Araz Binə-4,"Xəzər rayonu, Binə qəsəbəsi, Vaqif küçəsi",055 900 36 34,08:00 - 23:00
Araz Şüvəlan-2,"Şüvəlan qəsəbəsi, Lev Starçuk küçəsi",055 900 36 93,08:00 - 23:00
Araz Atatürk-2,"Nərimanov rayonu, İ.Dadaşov küçəsi 57 X     ",055 900 83 25,08:00 - 23:00
Araz Minəçevir-2,"Mingəçevir şəhəri, Naxçıvan küçəsi ev 42 B",055 204 96 05,08:00 - 23:00
Araz M.Əcəmi-2,"Bakı şəhəri , Nəsimi rayonu 3-cü mkr , Cavadxan küçəsi",055 200 83 29,08:00 - 23:00
Araz Sumqayıt-9,"Sumqayıt şəhəri, 12-ci mkr, Çerkassi küçəsi",055 900 36 90,08:00 - 23:00
Araz Xırdalan-6,"Xırdalan şəhəri, Heydər Əliyev prospekti 11",924,08:00 - 23:00
Araz Zabrat-2,"Sabunçu rayonu, Zabrat qəsəbəsi, R. Axundov küçəsi",055-333-37-81,08:00 - 23:00
Araz 8-ci mkr-3,"Binəqədi rayonu, 8-ci mikrorayon, Nizami Nərimanov küçəsi, 3078-ci məhəllə",055 333 43 18,08:00 - 23:00
Araz Mehdiabad-4,"Abşeron rayonu, Mehdiabad qəsəbəsi, Cəfər Cabbarlı küçəsi",055 333 47 25,08:00 - 23:00
Araz Biləcəri-5,"Binəqədi rayonu, Biləcəri qəsəbəsi, 3-cü yeni Y/M, Xudayat Məlikaslanov küçəsi 36",055 333 43 80,08:00 - 00:00
Araz Bayıl-2,"Bakı şəh. Səbail rayonu , Bayıl qəsəbəsi Xanlar küçəsi 119",055 333 47 31,08:00 - 23:00
Araz Xırdalan-7,Xırdalan şəhəri Heydər Əliyev Prospekti 95,055-333-46-22,08:00 - 23:00
