name,address,phone,hours
Araz Biləcəri-9,"Binəqədi rayonu, Biləcəri qəsəbəsi, DSK yolu, döngə 4",924,08:00-23:00
Araz Qarayev-3,"Nizami rayonu, Tofiq Abbasov küçəsi 38, bina 7",055-515-85-59,07:00 - 23:00
Araz Naxçıvan-2,"Naxçıvan MR, Naxçıvan şəhəri N.Tusi küçəsi 11",924,24\7
Araz 8-ci km-1,"Nizami rayonu, C.Naxçıvanski küçəsi 66 A, giriş 1 və 2",055-515-85-62,07:30 - 23:00
Araz Culfa-1,"Naxçıvan MR, Culfa rayonu, Bənəniyar kəndi",924,24\7
Araz 8-ci km-2,"Nizami rayonu, E.Süleymanov 2566 blok-B, mərtəbə 1",055-515-85-63,07:30 - 02:00
Araz Xankəndi-1,Xankəndi şəhəri,924,08:23:00
Araz Hövsan-2,"Suraxanı rayonu, Hövsan Qəsəbəsi, Elman Qasıməv küçəsi 227 A",055-515-85-64,07:30 - 23:00
Araz Siyəzən-2,"Siyəzən şəhəri, Heydər Əliyev pr",924,08:00-23:00
Araz Cəfər Xəndan,"Binəqədi rayonu, M.Ə.Rəsulzadə qəsəbəsi, Cəfər Xəndan küçəsi",055-515-85-69,08:00 - 02:00
Araz Kəlbəcər-1,Kəlbəcər rayonu,924,08:00-23:00
Araz Badamdar-1,"Səbail rayonu, Badamdar qəsəbəsi, 1 yaşayış massivi",055-515-85-66,08:00 - 02:00
Araz Xırdalan-13,"Xırdalan şəhəri, N.Zeynalova küçəsi",924,24\7
Araz Şəfayət Mehdiyev,"Yasamal rayonu, Ə.Ələkbərov küçəsi 1054 - cü məhəllə",055-515-85-68,08:00 - 23:00
Araz 4-cü mkr-1,"Bakı şəhəri, Nəsimi rayonu, H.Seyidzadə küçəsi 4 mkr",924,08:00-23:00
Araz Şərifzadə,"Bakı şəhəri, Şərfizadə küçəsi ünvanı",055-515-85-67,24\7
Araz 5-ci mkr-1,"Bakı şəhər, 5-ci mkr, Asif Məhərrəmov küçəsi",924,08:00-23:00
Araz Zirə-1,"Bakı şəhəri, Xəzər rayonu, Zirə qəsəbəsi.",0912,08:00-23:00
Araz Bakıxanov-7,"Bakıxanov rayonu, Nazim İsmayılov küçəsi",924,08:00-23:00
Araz Müşfiqabad-1,Bakı şəh. Müşfiqabad qəs. YYM1  22-ci Müşfik küç ev 81,0924,08:00-23:00
Araz Bərdə-1,Bərdə rayonu,924,08:00-23:00
Araz Qarayev-4,"Nizami rayonu, Qara Qarayev prospekti 25A ",055-515-85-72,07:00 - 23:00
Araz Biləcəri-10,Biləcəri qəsəbəsi,924,08:00-23:00
Araz Gəncə-4,"Gəncə şəhəri, 127B Atatürk prospekti",924,08:00-23:00
Araz Xırdalan-2,"Abşeron rayonu, Xırdalan şəhəri, H.Əliyev prospekti 7",055-515-85-70,24\7
Araz Goran-1,Goran qəsəbəsi,924,08:00-23:00
Araz 6-cı mkr,"Binəqədi rayonu, 6-cı mkr, İ.Haşımov küçəsi 1 A ",055-515-85-74,07:00 - 23:00
Araz Xətai-7,Sabit Orucov küçəsi,924,08:00-23:00
Araz Ə.Hüseynzadə,"Nəsimi rayonu, Ə.Hüseynzadə küçəsi 84",055-515-85-78,07:00 - 23:00
Araz Olimpik,"Nəsimi rayonu, Mərdanov qardaşları 137",924,08:00-23:00
Araz Xəzər-2,"Xətai rayonu, Əhmədli qəsəbəsi, Gəncə prospekti 135",055-515-85-77,24\7
Araz Mehdiabad-5,Mehdiabad rayonu,924,08:00-23:00
Araz Buzovna-2,"Buzovna qəsəbəsi, Buzovna-Maştağa yolunun sağ tərəfi, Zagulba yolu",055-515-85-83,07:00 - 00:00
Araz Mərdəkan-3,Sergey Yesenin küçəsi,924,08:00-23:00
Araz Mirəli Qaşqay,"Nəsimi rayonu, Kavoreçkin küçəsi ilə Mirəli Qaşqay küçəsinin kəsişməsi",055-515-85-88,07:00 - 02:00
Məhəmmədi-4,Məhəmmədi rayonu,924,08:00-23:00
Spar Tarqovu,"Nəsimi rayonu, Səməd Vurğun küçəsi 19",055-515-85-94,24\7
Araz Neapol-3,Neapol küçəsi,924,08:00-23:00
Araz Elmlər-3,"Yasamal rayonu, Firudin Ağayev 9 ",055-515-85-95,08:00 - 23:00
Araz Polad Həşimov,Polad Həşimov küçəsi,924,08:00-23:00
Araz Yasamal-1,"Yasamal rayonu, M.Seyidov küçəsi 41E, 3148-ci məhəllə",055-515-85-10,08:00 - 02:00
Araz Səməd Vurğun-1,"Nəsimi rayonu, Səməd Vurğun küçəsi",924,08:00-23:00
Araz Zaqatala,"Zaqatala rayonu, Faiq Əmirov küçəsi 25 (Zaqatala mall)",055-498-83-83,07:00 - 23:00
Araz Şamaxinka-1,"Bakı şəhəri, Moskva küçəsi",924,08:00-23:00
Araz İmişli,"İmişli rayonu, İmişli şəhəri, Baki küçəsi",055-515-85-99,07:00 - 23:00
Araz Tarqovu-1,Yusif Mammadaliyev küçəsi,924,08:00-23:00
Araz Sumqayıt-3,"Sumqayıt şəhəri, 9-cu mikrorayon, Üzeyir Hacıbəyov küçəsi 23",055-515-85-79,24\7
Araz Nərimanov-12,"Bakı şəhəri, Nərimanov rayonu Ə.Orucəliyev küçəsi",924,08:00-23:00
Araz Xətai-2,"Xətai rayonu, Həsən Salmani küçəsi 17",055-400-85-18,07:00 - 23:00
Araz Mingəçevir-3,Mingəçevir şəhəri. A.Puşkin küçəsi 24,924,08:00-23:00
Araz Xalqlar,"Nizami rayonu, Q.Qarayev prospekti 93 L",055-400-85-19,07:00 - 23:00
Araz Cavidan-1,"Bakı şəhəri, Nəsimi rayonu, Azadlıq pr",924,08:00-23:00
Araz Masazır-3,"Abşeron rayonu, Masazır qəsəbəsi, Bakı-Sumqayıt yolu",055-515-85-09,07:00 - 00:00
Araz Şərur-1,"Şərur şəhəri, M.Müşfiq küçəsi 2A",924,08:00-23:00
Spar 28 May Ekspress,"Nəsimi rayonu, Səməd Vurğun küçəsi 50",055-400-85-21,08:00 - 23:00
Araz Sumqayıt-13,"Abşeron rayonu, Stansiya Sumqayıt, 1001 ailəlik yaşayış kompleksi",924,08:00-23:00
Araz Nərimanov-3,"Nərimanov rayonu, N.Hacıyev və F.Yusifov küçəsinin kəsişməsi, 1950-ci məhəllə",055-400-85-20,07:00 - 23:00
Araz Ramana-3,"Bakı şəhəri, Yeni Suraxanı qəsəbəsi, Mərkəzi küçəsi. 4P saylı sahə",924,08:00-23:00
Araz Badamdar-4,"Bakı şəhəri, Səbail rayonu. Badamdar qəsəbəsi",924,07:00-23:00
Araz Günəşli-2,"Suraxanı rayonu, Yeni Günəşli D yaşayış sahəsi, 26-cı bina",055-400-85-24,07:30 - 23:00
Araz Güzdək-1,"Abşeron rayonu, Güzdək qəsəbəsi, Aşağı Güzdək yolu.",0552509204,07:00 - 00:00
Araz Qum adası,"Suraxanı rayonu, Zığ-Hövsan şossesi, Qum adası yolu",055-400-85-25,07:30 - 23:00
Araz Şağan-3,"Xəzər rayonu, Şağan qəsəbəsi, 114-cü Mərdəkan küçəsi",0552509454,24\7
Araz Buzovna-3 Minimarket,"Xəzər rayonu, Zaqulba qəsəbəsi, R.İmanov küçəsi",055-400-85-28,07:30 - 23:00
Araz Badamdar-5,"Səbail rayonu, Badamdar qəsəbəsi, Ə.Nəzərov küçəsi 33A",924,07:00-23:00
Araz 7-ci mkr,"Binəqədi rayonu, 7 mkr, 3123-cü məhəllə",055-400-85-26,07:00 - 23:00
Araz Azadlıq-5,"Bakı şəhəri, Binəqədi rayonu, İ.Dadaşov küçəsi 70A",924,07:00-23:00
Araz Yeni Yasamal-6,"Bakı şəhəri, Yasamal rayonu, Xarici dairəvi yolu ev 38",924,07:00-23:00
Araz 6-cı mkr 2,"Binəqədi rayonu, 6-cı mkr, Svetlana Məmmədova küçəsi 209 F",055-400-85-38,07:00 - 23:00
Araz Saray-5,"Abşeron rayonu, Saray qəsəbəsi, M.Hüseyn küçəsi",924,07:00-23:00
Araz Sumqayıt-5,"Sumqayıt şəhəri, 9-cu mkr Ü.Hacıbəyov və Koroğlu küçələrinin kəsişməsi",055-400-85-32,24\7
Araz Xocavənd-1,Xocavənd şəhəri,924,07:00-23:00
Araz Daşkəsən,"Daşkəsən şəhəri, Nizami küç. 14",055-400-85-34,07:00 - 23:00
Araz Tovuz-1,"Tovuz şəhəri, M.H.Şəhriyar küçəsi 19",924,07:00-23:00
Araz Gəncə-2,"Gəncə şəhəri, Yeni Gəncə qəsəbəsi, Ə.Mehmandarov küçəsi",055-400-85-36,24\7
Araz Xırdalan-14,"Xırdalan şəhəri, Q.Aslanov 80",924,07:00-23:00
Araz Saatlı,"Saatlı şəhəri, H.Əliyev pr. 240",055-400-85-35,07:00 - 00:00
Araz Sumqayıt-14,"Sumqayıt şəhəri, Dənizkənarı Park",924,07:00-23:00
Araz Məhəmmədi-2,"Abşeron rayonu, Zabrat dairəsi, Məhəmmədi kəndi istiqaməti",055-400-85-39,07:30 - 23:00
Araz Zaqatala-3,"Zaqatala şəhəri, Heydər Əliyev pr. 67A",924,07:00-23:00
Araz 7-ci mkr-2,"Binəqədi rayonu, F.Məlikov küçəsi 18A",055-400-85-40,07:00 - 23:00
Araz Ağdam-1,"Ağdam rayonu, Quzanlı qəsəbəsi",924,07:00-23:00
Araz N.Yusifbəyli,"Nəsimi rayonu, Nəsib bəy Yusifbəyli küçəsi 94",055-400-85-42,07:00 - 23:00
Araz Xətai - 8,"Bakı şəhəri, Xətai rayonu, A.Cəlilov küçəsi",924,07:00-23:00
Araz Sahil,"Qaradağ rayonu, Sahil qəsəbəsi, Məhərrəm Seyidov küçəsi 15",055-400-85-46,08:00 - 23:00
Araz Saray-4,"Abşeron rayonu, Saray qəsəbəsi. M.Ə.Rəsulzadə küçəsi",99455 250 98 01,07:00-23:00
Araz Bakıxanov-4,"Sabunçu rayonu, Bakıxanov qəsəbəsi, N.İsmayılov küçəsi 15",055-400-85-48,07:00 - 23:00
Araz Biləcəri,"Binəqədi rayonu, Biləcəri qəsəbəsi, M.Hüseyn küçəsi 17",055-400-85-50,24\7
Araz Zaqulba,"Xəzər rayonu, Zaqulba qəsəbəsi, R.İmanov küçəsi",055 400 85 28,07:30 - 23:00
Araz Neftçilər-2 Ekspress,"Nizami rayonu, R.Rüstəmov küçəsi 12c",055-400-85-49,07:00 - 23:00
Araz Günəşli-4,"Suraxanı rayonu, Samir Cəfərov, ev2, V massivi",055 864 95 30,07:30 - 23:00
Araz Həzi Aslanov-1,"Xətai rayonu, M.Hadi küçəsi 73A",055-400-85-53,08:00-23:00
Araz İnqilab-2,"Nərimanov rayonu, Möhsün Sənani küçəsi, 34 (ASAN xidmətin yaxınlğı);",055 900 67 24,07:00 - 23:00
Araz Mehdiabad-2,"Mehdiabad qəsəbəsi, 28 May küçəsi (Mehdiabad ticarət mərkəzinin 1-ci mərtəbəsi)",055-400-85-52,07:00 - 00:00
Araz Ələt-1,"Bakı şəhəri, Qaradağ rayonu, Ələt qəsəbəsi, K. Məmmədov küçəsi, keçid 1587.",924,08:00 - 23:00
Araz Xırdalan-3,"Xırdalan şəh., AAAF Park yaşayış kompleksi",055-400-85-58,07:00 - 23:00
Araz Beyləqan-1,"Beyləqan rayonu, Qarallar kəndi.",924,08:00-23:00
Araz Pirallahı-3,"Pirallahı rayonu, Əzizbəyov küçəsi, ev 26.",924,08:00-23:00
Araz 7-ci mkr-3,"Binəqədi ray., 7-ci mkr, S.S.Axundov küç. 3C",055-400-85-60,07:00 - 23:00
Araz Həzi Aslanov-5,Bakı şəh. Xətai ray. M.Hadi küç kəsişmı 2944A məhəll,924,08:00-23:00
Araz Sabunçu,"Sabunçu qəs., Ə.Məmmədəliyev küç. 18A (Sabunçu xəstəxanasının yaxınlığı)",055-400-85-57,07:00 - 23:00
Araz Əhmədli-8,"Xətai rayonu ,Əhmədli qəs , LütfiZadə küç, 2347 48-ci məhəllə, Baku",924,08:00-23:00
Araz Mingəçevir,"Mingəçevir şəhəri, Heydər Əliyev prospekti",055-400-85-62,24\7
Araz 8-ci km-3,"Bakı şəhəri, 8-ci km",924,08:00-23:00
Araz Ceyranbatan,"Abşeron rayonu, Ceyranbatan qəsəbəsi, Bakı-Sumqayıt şossesi",055-400-85-63,24\7
Araz 9-cu mkr-3,"Binəqədi r-nu,9mkr, ev 11 A Məmmədov küçəsi, Baku",924,08:00-23:00
Araz Zabrat,"Zabrat qəsəbəsi, Neftçilər küçəsi",055-400-85-56,07:00 - 23:00
Araz Məhəmmədi-4,Məhəmmədi rayonu,924,08:00-23:00
Araz Günəşli-3,"Suraxanı rayonu, Qaraçuxur qəsəbəsi, İlqar Musayev küçəsi, Qartal heykəlinin yaxınlığı",055-400-85-61,24\7
Araz Bülbülə-1,Bülbülə qəsəbəsi,924,08:00-23:00
Araz Suraxanı,"Suraxanı rayonu, Yeni Suraxanı ŞTQ 14 iyul ev. 24",055 400 85 76,07:00 - 23:00
Araz Müşfiqabad-2,"Bakı şəhəri, Binəqədi rayonu 28 may, İzlivnoy küçəsi",924,07:00-23:00
Araz Nizami,"Yasamal rayonu, 422-ci məhəllə, Mirzə İbrahimov küçəsi 53, 1-ci mərtəbə",055 252 26 07,08:00 - 23:00
Araz Saray-3,"Abşeron rayonu, Saray qəsəbəsi, M.Əsədov küç 1 ev 3",924,07:00-23:00
Araz Kürdəxanı,"Kürdəxanı qəsəbəsi, Əjdər Məlikov küçəsi",055 215 12 89,07:30 - 02:00
Araz Əhmədli-11,"Bakı şəhəri, Xətai rayonu, Xocalı prospekti 13/15",924,07:00-23:00
Araz Azadlıq-3,"Nərimanov rayonu, məhəllə 944. S. Rəhman küçəsi",055-400-85-12,24\7
Araz 9-cu mkr-4,"Bakı şəhəri, Binəqədi rayonu, Mir Cəlal küç 139A",924,07:00 - 23:00
Araz İnqilab-1,Nərimanov rayonu. Akademik Mirəli Qaşqay küçəsi. ev 94. 1-ci mərtəbə,055-400-85-13,08:00 - 23:00
Araz Xırdalan-16,"Abşeron rayonu, Xırdalan şəhəri, 26-cı məhəllə. M.Hüseynzadə küçəsi",924,07:00-23:00
Araz Elmlər,Yasamal rayonu. Ə. Ələkbərov küç. 510,055 400 85 02,24\7
Araz Saray-7,"Abşeron rayonu, Saray qəsəbəsi",924,07:00-23:00
Araz Space,"Yasamal rayonu, Hüseyn Cavid prospekti 17A",055-400-85-09,08:00 - 00:00
Araz Cəbrayıl-1,Cəbrayıl rayonu,924,07:00-23:00
Araz Yasamal Superstore,Yasamal rayonu. Ə. Haqverdiyev küçəsi. məhəllə 574,055-400-85-10,24\7
Araz Bərdə-3,"Bərdə rayonu, Ü.Hacıbəyov küçəsi",924,07:00-23:00
Araz Statistika-2,Yasamal rayonu. M. H. Naxçıvani 15,055-400-85-04,24\7
Araz İmişli-2,"İmişli rayonu, M.M.Rəsulzadə küçəsi, ev 3",924,07:00-23:00
Araz Planet,Nizami rayonu. M. Abbasov 50 B,055-400-85-15,07:00 - 23:00
Araz Balakən -1,"Balakən şəhəri, H.Əliyev pr",924,07:00-23:00
Araz 7-ci mkr-4,"Binəqədi rayonu, 7-ci mkr, Xarici Dairəvi küçəsi bina 22 blok 1",055-400-85-01,07:00 - 23:00
Araz Hövsan-6,"Bakı şəhəri, Surxanı rayonu, Hövsan qəsəbəsi, Xudafərin küçəsi 26B",924,07:00-23:00
Araz Rəsulzadə,"Binəqədi rayonu, M.Ə.Rəsulzadə qəsəbəsi, Azadlıq prospekti 157",055-400-85-11,07:00 - 23:00
Araz Bayıl-4,"Səbayil rayonu, Bibiheybet qəsəbəsi, Salyan şosesi 3-cü km",924,07:00-23:00
Araz Binəqədi Minimarket,"Binəqədi rayonu, Gülməmməd Ramazanov küçəsi, (1 sayli qarışıq mallar mağazasi) 2-ci mədən, korpus 52",055 400 85 05,07:00 - 23:00
Araz Xırdalan-15,"Abşeron rayonu, Xırdalan şəhəri, H. Əliyev pr 518",924,07:00-23:00
Araz 9-cu mkr-2,"Binəqədi rayonu, 9-cu mikrorayon, Mir Cəlal küçəsi 59 K",055-400-85-14,07:00  - 00:00
Araz Şıxlinski -2,"Bakı şəhəri, Xətai rayonu, G.Şıxlınski küçəsi, 2942D ev 51C",924,07:00-23:00
Araz Neapol,"Xətai rayonu, General Şıxlınski küçəsi 55",055 400 85 03,24\7
Araz Tusi-3,"Bakı şəhəri, Xətai rayonu, N.Tusi küçəsi, 2942",924,07:00-23:00
Araz Xəzər-3,"Xətai rayonu, Gəncə prospekti,  məhəllə 29/42",055-400-85-06,24\7
Araz Yeni Yasamal-7,"Bakı şəhəri, Yasamal rayonu. Alatava - 7 küçəsi, ev 72",924,07:00-23:00
Araz Bayıl,"Səbail rayonu, Salyan şössesi, 20-ci ünvan",055-400-85-08,24\7
Araz Qaradağ-2,"Bakı şəhəri, Qaradağ rayonu. Sahil qəsəbəsi. Salyan şosesi, 34-cü məhəllə.",924,07:00-23:00
Araz Novxanı,"Abşeron rayonu, Novxanı kəndi",055-400-85-16,07:00 - 00:00
Araz Xəzər-5,"Bakı şəhəri, Xətai rayonu. Gəncə pr 38.",924,07:00-23:00
Araz Quba,"Quba rayonu, Heydər Əliyev pr.",055-400-85-07,24\7
Araz Sahil-2,"Bakı şəhəri, Qaradağ rayonu, Sahil qəsəbəsi. Ş.Əsgərov küçəsi ev.4",924,07:00-23:00
Yeni Günəşli-4 Minimarket," Suraxanı rayonu, Samir Cəfərov, ev2, V massivi",055 864 95 30,07:30 - 23:00
Araz Biləcəri-11,"Bakı şəhəri, Binəqədi rayonu. Biləcəri qəsəbəsi.",924,07:00-23:00
Yeni Yasamal-1 Minimarket,"Yasamal rayonu, Yeni Yasamal 1, ev 1H",055 202 65 24,08:00 - 23:00
Araz Nərimanov-13,"Bakı şəhəri, Nərimanov rayonu, Fətəli Xan Xoyski ev 118A",924,07:00-23:00
Araz Badamdar-2,"Səbail rayonu, Badamdar qəsəbəsi, Tofiq Məmmədov ",055 202 65 46,07:00 - 23:00
Araz 8 mkr-04,"Bakı şəhəri, Binəqədi rayonu, Naxçıvani küçəsi 5A",924,07:00-23:00
Araz 20 Yanvar-2,"Nəsimi rayonu, Məmmədcəfər Cəfərov küçəsi, 3006 məhəllə",055 201 83 73,07:00 - 23:00
Araz Şərifzadə - 5,"Bakı şəhəri, Yasamal rayonu, Şərifzadə küçəsi 33",924,07:00-23:00
Araz Yeni Yasamal-1,"Yasamal rayonu, Mirəli Seyidov küçəsi ",055 400 85 87,07:00 - 23:00
Araz Sumqayıt-16,"Sumqayıt şəhəri, 6-cı mikrorayon.",924,07:00-23:00
Araz Saray-2,"Abşeron rayonu, Saray qəsəbəsi, Məhəmməd Əsədov küçəsi",055 400 85 79,24\7
Araz Saray-6,"Abşeron rayonu, Saray qəsəbəsi",924,07:00-23:00
Araz Sumqayıt-6,"Sumqayıt şəhəri, Koroğlu küçəsi, 41-ci məhəllə, Koroğlu prospekti",055 226 51 10,24\7
Araz Sumqayıt-15,"Abşeron rayonu, Pirəkeşgül. Azərbaycan küçəsi 236",924,07:00-23:00
Araz Xırdalan-4,"Xırdalan şəhəri, Nizami Gəncəvi küçəsi",055 414 24 74,07:00 - 23:00
Araz Mehdiabad-7,Abşeron ray.Mehdiabad qəsəbəsi,055 457 49 29 ,07:00-23:00
Araz Nərimanov-4,"Nərimanov rayonu, Ə.Əliyev küçəsi",055 226 51 12,24\7
Araz Bərdə-4,"Bərdə rayonu, Birinci Qaradəmirçi kəndi",924,07:00-23:00
Araz N.Tusi-1,"Xətai rayonu, N.Tusi küçəsi",055 300 83 77,07:00 - 23:00
