name,address,phone,hours,latitude,longitude
Tamstore - Şərur(Super),"Naxçıvan MR., Şərur şəhəri, Heydər Əliyev pr 49, N&N Residence",*8700,24 saat,39.559711471590234,44.98628997596883
Tamstore - 1-ci MKR / Super,"1-ci MKR, Moskva prospekti, 14 Saylı Notariat şöbəsinin yaxınlığı",*8700,24 saat,40.40596767144125,49.805404676010475
Tamstore Badamdar (Super),"Badamdar qəsəbəsi, Rafiq İsgəndərov küçəsi",*8700,24 saat,40.33925986035159,49.80462747547893
Tamstore 5ci MKR (City),"Nesimi rayonu, 20 yanvar küçesi 30 , Bakı, Azerbaycan",*8700,24 saat,40.41170097144044,49.80984507601069
Tamstore Masazır (Super),"Masazır qəsəbəsi, Əliağa Vahid küçəsi",*8700,24 saat,40.47143197143095,49.75122107601372
Nəsimi Olimpik (Super),"Nəsimi rayonu, 244a Səməd Vurğun küçəsi, ""Olimpik Star"" ın yaxınlığı",*8700,24 saat,40.40120697144215,49.82906307601024
Tamstore Neftçilər (City),"Nizami rayonu, Məmmədəli Şərifli küçəsi 78",*8700,24 saat,40.41509197143989,49.9452630760109
Tamstore Xalqlar dostluğu (Mini),"Bəhruz Nuriyev küçəsi, 119 saylı poçt idarəsinin yaxınlığı",*8700,24 saat,40.39929597144243,49.94571707601004
Tamstore - Xırdalan 1 (Super),"Xırdalan şəhəri, Məmmədəmin Rəsulzadə küçəsi 12",*8700,24 saat,40.453738971433694,49.75240707601279
Tamstore Gənclik (City),"Nərimanov rayonu, Həsən Əliyev küçəsi, 90A",*8700,24 saat,40.40304197144181,49.84974707601031
Tamstore Qarayev (City),"Nizami rayonu, Əliağa Kürçaylı küçəsi",*8700,24 saat,40.41890297143922,49.93885007601106
Tamstore Şamaxinka (Mini),"Nəsimi rayonu, 20 Yanvar küçəsi 2",*8700,24 saat,40.41046907144063,49.80161667601066
Tamstore Əmircan (Super),"Əmircan qəs., Tofiq Bayram küç., 87 saylı tam orta məktəbin yaxınlığı",*8700,24 saat,40.43064897143735,49.984684076011675
Tamstore Sumqayıt 2 (Super),"Sumqayıt şəhəri, Nəriman Nərimanov küçəsi, Sumqayıt bazarı ərazisi",*8700,24 saat,40.59057237141216,49.67294697601968
Tamstore - Xırdalan 2 (Super),"Xırdalan - Xırdalan şəh., Heydər Əliyev pr., Köhnə bazar ərazisi",*8700,24 saat,40.45577597143333,49.73431807601301
